,id,player_name,position,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,npg,npxG,xGChain,xGBuildup
7580,5426,Vladimir Poluyakhtov,D,19.5,1665.5,1.25,0.9842375335283577,0.5,0.5981965274550021,14.5,10.5,3.75,0.5,1.25,0.9842375335283577,2.8572236294858158,1.9689938053488731
7581,3053,Vladimir Rykov,D,18.428571428571427,1531.0,0.8571428571428571,0.9405974746415657,0.0,0.17074341127382855,15.142857142857142,4.285714285714286,5.285714285714286,0.2857142857142857,0.8571428571428571,0.9405974746415657,2.07848633519773,1.7655217207169958
7582,2904,Vladimir Zubarev,M S,7.333333333333333,372.3333333333333,0.3333333333333333,0.06704926987489064,0.0,0.04499320872128007,1.6666666666666667,1.3333333333333333,1.3333333333333333,0.0,0.3333333333333333,0.06704926987489064,0.2872953945770859,0.18402286867300668
7583,9572,Vladislav Galkin,S,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7584,2894,Vladislav Ignatjev,D S,20.25,1481.625,2.125,1.6440545717487112,1.75,1.652807399572339,18.5,16.75,3.5,0.25,2.0,1.5497701592976227,5.299784761853516,2.8843320148298517
7585,8873,Vladislav Kamilov,M S,17.5,1283.5,2.5,2.1822056642267853,0.5,0.46501989592798054,21.0,11.5,5.0,0.0,2.5,1.8050680032465607,5.044324561953545,3.805280322674662
7586,8504,Vladislav Karapuzov,F M S,12.666666666666666,688.0,0.0,0.5220905824874839,1.0,1.6311730813855927,13.333333333333334,17.666666666666668,1.6666666666666667,0.0,0.0,0.5220905824874839,3.1070400678242245,1.323726993985474
7587,3108,Vladislav Kulik,M S,17.5,1280.75,0.75,1.1304503818973899,1.5,0.9274265308631584,12.0,18.0,2.5,0.0,0.25,0.5647438974119723,3.1675292864674702,2.3032382105011493
7588,2760,Vladislav Levin,M S,3.0,101.0,0.0,0.0100015560165047,0.0,0.0571709387004375,1.0,3.0,0.0,0.0,0.0,0.0100015560165047,0.7650226429104805,0.7551175430417061
7589,5915,Vladislav Nikiforov,D F M S,24.0,1772.0,0.0,0.4057055134326219,1.0,0.5305240228772163,16.0,10.0,2.0,0.0,0.0,0.4057055134326219,1.5687690759077668,0.7006895076483488
7590,7260,Vladislav Panteleev,F M S,8.5,356.5,0.75,0.82883958844468,1.0,0.3988340215291828,7.25,6.5,1.0,0.0,0.25,0.2631330997683108,1.1685386123135686,0.8281571993138641
7591,6589,Vladislav Poletaev,GK,1.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7592,4572,Vladislav Ryzhkov,F M S,17.5,903.5,0.0,0.9787080674432218,2.5,1.0250094872899354,19.5,18.5,1.5,0.5,0.0,0.9787080674432218,2.951929021626711,1.2653612084686756
7593,9591,Vladislav Sarveli,F S,17.0,982.0,6.0,4.566722912713885,1.0,0.7128134034574032,23.0,16.0,0.0,0.0,6.0,4.566722912713885,5.890075398609042,0.7333347480744123
7594,8437,Vladislav Tyurin,S,1.0,3.0,0.0,0.0,0.0,0.0297928024083375,0.0,1.0,0.0,0.0,0.0,0.0,0.1048212423920631,0.0750284343957901
7595,198,Vladlen Yurchenko,M S,4.333333333333333,163.33333333333334,0.3333333333333333,0.16071682268132761,0.0,0.20262163504958153,3.6666666666666665,2.0,0.6666666666666666,0.0,0.3333333333333333,0.16071682268132761,1.0888031708697479,0.787604005386432
